,year,title,director,cast,genre,producer,link,cast_size,music,imdb
40,2018,Traffic Ramasamy,Vicky,"S. A. Chandrasekhar, R. K. Suresh, Prakash Raj",null,Green Signal,/wiki/Traffic_Ramasamy_(film),3,Balamurali Balu,5.6
41,2018,Asuravadham,Maruthupandian,"M. Sasikumar, Nandita Swetha, Sheela Rajkumar",null,Seven Screen Studios,/wiki/Asuravadham,3,Govind Menon,6.3
42,2018,Ethukadi Kaadhalicha,Ravi Rahul,"Soundararaja, Black Pandi",null,Arun Creations,,2,,9.2
43,2018,Inba Twinkle Lilly,R. K. Vidhyadaran,"Kovai Sarala, Saranya Ponvannan, Kalpana",null,Appu Movies,/wiki/Inba_Twinkle_Lilly,3,,4.0
44,2018,Semma Botha Aagathey,Badri Venkatesh,"Atharvaa, Mishti, Anaika Soti",null,Kickass Entertainment,/wiki/Semma_Botha_Aagathey,3,Yuvan Shankar Raja,5.0
45,2018,Kasu Mela Kasu,K. S. Pazhani,"Shahrukh, Gayathri, Kovai Sarala, Ganja Karuppu",null,Ragav Movie Entertainment,/wiki/Kasu_Mela_Kasu,4,M. S. Pandian,
46,2018,Mr. Chandramouli,Thiru,"Karthik, Gautham Karthik, Regina Cassandra, Varalaxmi Sarathkumar",null,Creative Entertainers,/wiki/Mr._Chandramouli,4,Sam CS,5.1
47,2018,Roja Maaligai,Goutham,"Amaran, Soumia, Aadukalam Naren, Devadarshini",null,1 Look Movies,,4,,
48,2018,Tamizh Padam 2,C. S. Amudhan,"Shiva, Iswarya Menon, Sathish",null,Y NOT Studios,/wiki/Tamizh_Padam_2,3,"Kannan,N.Kannan",6.5
49,2018,Kadaikutty Singam,Pandiraj,"Karthi, Sathyaraj, Sayyeshaa, Priya Bhavani Shankar, Arthana Binu",null,2D Entertainment,/wiki/Kadaikutty_Singam,5,D. Imman,6.9
50,2018,Mangai Maanvizhi Ambugal,Vino,"Prithvi Vijay, Mahi",null,Road Train Pictures,,2,,
51,2018,Bodha,Suresh G.,"Vicky, Mippu, Shanmugasundaram",null,50 50 Films Entertainment,/wiki/Bodha_(film),3,Siddharth Vipin,5.9
52,2018,Maya Bhavanam,Om Shri Kannaji,"Om Shri Kannaji, Mamatha Rahuth Mammu",null,Ham-Sham Studios,,2,,
53,2018,Ondikatta,Bharani,"Vikram Jagadish, Neha, Kovai Senthil",null,Friends Cine Media,,3,,
54,2018,Vinveli Payana Kurippugal,R. Jayaprakash,"Athvik Jalandhar, Pooja Ramakrishnan, Jogikumar",null,Lemurian Thirakkalam,/wiki/Vinveli_Payana_Kurippugal,3,Ganesh Raghavendra,7.0
55,2018,Junga,Gokul,"Vijay Sethupathi, Sayyeshaa, Madonna Sebastian",null,Vijay Sethupathi Productions,/wiki/Junga_(film),3,Siddharth Vipin,5.2
56,2018,Mohini,Madhesh,"Trisha, Jackky Bhagnani, Suresh, Poornima Bhagyaraj",null,Marvel Worth Productions,/wiki/Mohini_(2018_film),4,"Vivek,Mervin,Aruldev",3.3
57,2018,Arali,A. R. Subbaraj,"Madhu Soothan, Manjula Rathod",null,Am Rm Films,,2,,
58,2018,Enga Kattula Mazhai,Sri Balaji,"Mithun, Shruthi Ramakrishnan, Appukutty, Aruldoss",null,Vaali Film Visions,/wiki/Enga_Kattula_Mazhai,4,Srivijay,5.0
59,2018,Ghajinikanth,Santhosh P. Jayakumar,"Arya, Sayyeshaa, Karunakaran",null,Studio Green,/wiki/Ghajinikanth,3,Balamurali Balu,5.4
60,2018,Kadal Kuthiraigal,Pugazhendhi Thangaraj,"Rohini, Thalaivasal Vijay, Bose Venkat, Sreedhanya",null,Global Media Invest,/wiki/Kadal_Kuthiraigal,4,,5.4
61,2018,Kadikara Manithargal,Vaigarai Balan,"Kishore, Karunakaran, Latha Rao",null,Christ P International,/wiki/Kadikara_Manithargal,3,Sam C. S.,
62,2018,Kattu Paya Sir Intha Kaali,Youreka,"Jaivanth, Iraa Agarwal, Aadukalam Naren",null,White Horse Cinemas,/wiki/Kattu_Paya_Sir_Intha_Kaali,3,Vijay Shankar,2.8
